id,trial,name,response
12,20,Chandler,5
12,20,Sage,4
12,20,Emery,6
12,9,Noah,5
12,9,Kris,4
12,9,Lake,6
12,9,Quinn,4
12,9,Cameron,4
12,15,Whitney,7
12,15,Ari,6
12,15,Sloan,6
12,15,Max,4
12,12,Skyler,6
12,12,Morgan,5
12,12,Hayden,4
12,17,Hunter,6
12,17,Sage,7
12,17,Avery,6
12,2,Jordan,4
12,2,Cameron,4
12,2,Harley,4
12,2,Noah,4
12,23,Emery,4
12,23,Cameron,5
12,23,Harper,6
12,4,Brook,5
12,4,Phoenix,6
12,4,Kirby,4
12,4,Quinn,4
12,4,Presley,4
12,16,Kris,3
12,16,Sage,7
12,16,Whitney,6
12,16,Emery,3
12,1,Robin,3
12,1,Avery,3
12,1,Sage,3
12,1,Hayden,3
12,1,River,3
12,7,London,6
12,7,Blake,3
12,7,Alex,5
12,3,Grey,3
12,3,Noah,3
12,3,Sunny,3
13,15,Whitney,5
13,15,Ari,5
13,15,Sloan,5
13,15,Max,5
13,1,Robin,5
13,1,Avery,5
13,1,Sage,5
13,1,Hayden,5
13,1,River,5
13,13,Sunny,5
13,13,Skyler,6
13,13,Kris,6
13,12,Skyler,5
13,12,Morgan,5
13,12,Hayden,5
13,11,Flynn,8
13,11,Brooklyn,8
13,11,Kirby,7
13,11,Oakley,8
13,22,Indigo,7
13,22,Bryce,8
13,22,Lake,7
13,3,Grey,7
13,3,Noah,5
13,3,Sunny,6
13,16,Kris,7
13,16,Sage,5
13,16,Whitney,5
13,16,Emery,4
13,8,Kirby,8
13,8,Noah,8
13,8,Chandler,6
13,5,Sasha,7
13,5,Bryce,8
13,5,Kris,6
13,5,Jordan,6
13,18,Max,6
13,18,Sasha,4
13,18,Bryce,4
13,14,Chandler,5
13,14,Hunter,7
13,14,Cameron,7
13,14,Addison,7
13,14,Indigo,7
13,4,Brook,6
13,4,Phoenix,8
13,4,Kirby,8
13,4,Quinn,7
13,4,Presley,9
13,19,Kris,8
13,19,Riley,7
13,19,Blake,7
13,19,Cameron,8
13,19,Taylor,8
13,20,Robin,8
13,20,Chandler,8
13,20,Sage,7
13,20,Emery,7
13,10,Sage,7
13,10,Hunter,7
13,10,Quinn,6
13,10,Chandler,8
13,6,Cedar,7
13,6,Kris,8
13,6,Hunter,8
13,6,Morgan,7
13,17,Hunter,8
13,17,Sage,6
13,17,Avery,6
13,21,Grey,8
13,21,Morgan,3
13,21,Avery,5
13,21,Phoenix,5
13,23,Emery,6
13,23,Cameron,7
13,23,Harper,7
13,7,London,6
13,7,Blake,7
13,7,Alex,8
13,2,Jordan,8
13,2,Cameron,5
13,2,Harley,8
13,2,Noah,7
13,9,Noah,5
13,9,Kris,4
13,9,Lake,6
13,9,Quinn,8
13,9,Cameron,8
14,9,Noah,7
